data,forn,area,eta,m,f,d,N1,N2,ISTAT,reg
2025-09-23,Pfizer/BioNTech,EMR,70-79,1,0,1,ITH,ITH5,8,Emilia-Romagna
2025-09-23,Pfizer/BioNTech,LOM,20-29,0,1,1,ITC,ITC4,3,Lombardia
2025-09-24,Pfizer/BioNTech,LOM,60-69,0,1,1,ITC,ITC4,3,Lombardia
2025-10-01,Pfizer/BioNTech,LOM,20-29,4,3,7,ITC,ITC4,3,Lombardia
2025-10-01,Pfizer/BioNTech,LOM,30-39,1,8,9,ITC,ITC4,3,Lombardia
2025-10-01,Pfizer/BioNTech,LOM,40-49,1,2,3,ITC,ITC4,3,Lombardia
2025-10-01,Pfizer/BioNTech,LOM,50-59,0,3,3,ITC,ITC4,3,Lombardia
2025-10-01,Pfizer/BioNTech,LOM,60-69,1,1,2,ITC,ITC4,3,Lombardia
2025-10-02,Pfizer/BioNTech,EMR,80-89,0,1,1,ITH,ITH5,8,Emilia-Romagna
2025-10-02,Pfizer/BioNTech,LOM,20-29,1,0,1,ITC,ITC4,3,Lombardia
2025-10-02,Pfizer/BioNTech,LOM,30-39,4,7,11,ITC,ITC4,3,Lombardia
2025-10-02,Pfizer/BioNTech,LOM,40-49,3,1,4,ITC,ITC4,3,Lombardia
2025-10-02,Pfizer/BioNTech,LOM,50-59,3,5,8,ITC,ITC4,3,Lombardia
2025-10-02,Pfizer/BioNTech,LOM,60-69,4,4,8,ITC,ITC4,3,Lombardia
2025-10-02,Pfizer/BioNTech,TOS,80-89,1,0,1,ITI,ITI1,9,Toscana
2025-10-03,Pfizer/BioNTech,EMR,80-89,0,1,1,ITH,ITH5,8,Emilia-Romagna
2025-10-03,Pfizer/BioNTech,LAZ,60-69,1,0,1,ITI,ITI4,12,Lazio
2025-10-03,Pfizer/BioNTech,LAZ,70-79,1,0,1,ITI,ITI4,12,Lazio
2025-10-03,Pfizer/BioNTech,LAZ,80-89,2,0,2,ITI,ITI4,12,Lazio
2025-10-03,Pfizer/BioNTech,LOM,20-29,0,6,6,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,LOM,30-39,2,6,8,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,LOM,40-49,5,6,11,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,LOM,50-59,6,11,17,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,LOM,60-69,4,6,10,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,LOM,70-79,2,3,5,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,LOM,80-89,3,0,3,ITC,ITC4,3,Lombardia
2025-10-03,Pfizer/BioNTech,SAR,60-69,0,1,1,ITG,ITG2,20,Sardegna
2025-10-03,Pfizer/BioNTech,SAR,70-79,1,0,1,ITG,ITG2,20,Sardegna
2025-10-03,Pfizer/BioNTech,VEN,70-79,0,1,1,ITH,ITH3,5,Veneto
2025-10-04,Pfizer/BioNTech,TOS,60-69,1,0,1,ITI,ITI1,9,Toscana
2025-10-05,Pfizer/BioNTech,EMR,80-89,1,0,1,ITH,ITH5,8,Emilia-Romagna
2025-10-06,Pfizer/BioNTech,LAZ,20-29,1,0,1,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LAZ,30-39,1,0,1,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LAZ,40-49,1,0,1,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LAZ,50-59,1,0,1,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LAZ,60-69,5,2,7,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LAZ,70-79,3,3,6,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LAZ,80-89,1,0,1,ITI,ITI4,12,Lazio
2025-10-06,Pfizer/BioNTech,LOM,60-69,2,3,5,ITC,ITC4,3,Lombardia
2025-10-06,Pfizer/BioNTech,SIC,30-39,0,1,1,ITG,ITG1,19,Sicilia
2025-10-06,Pfizer/BioNTech,VDA,70-79,0,1,1,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
