area,reg,categoria_prevalente,totale_popolazione
ABR,Abruzzo,60-69,141532
ABR,Abruzzo,70-79,115535
ABR,Abruzzo,Fragili,68872
ABR,Abruzzo,Ospiti RSA,1566
ABR,Abruzzo,Over 80,74890
BAS,Basilicata,60-69,62022
BAS,Basilicata,70-79,45780
BAS,Basilicata,Fragili,26050
BAS,Basilicata,Ospiti RSA,381
BAS,Basilicata,Over 80,32377
CAL,Calabria,60-69,193274
CAL,Calabria,70-79,145779
CAL,Calabria,Fragili,66203
CAL,Calabria,Ospiti RSA,1975
CAL,Calabria,Over 80,90705
CAM,Campania,60-69,536600
CAM,Campania,70-79,402230
CAM,Campania,Fragili,246158
CAM,Campania,Ospiti RSA,3334
CAM,Campania,Over 80,207725
EMR,Emilia-Romagna,60-69,454495
EMR,Emilia-Romagna,70-79,381971
EMR,Emilia-Romagna,Fragili,115862
EMR,Emilia-Romagna,Ospiti RSA,6090
EMR,Emilia-Romagna,Over 80,198018
FVG,Friuli-Venezia Giulia,60-69,131535
FVG,Friuli-Venezia Giulia,70-79,118761
FVG,Friuli-Venezia Giulia,Fragili,23425
FVG,Friuli-Venezia Giulia,Ospiti RSA,1896
FVG,Friuli-Venezia Giulia,Over 80,76632
LAZ,Lazio,60-69,612736
LAZ,Lazio,70-79,482878
LAZ,Lazio,Fragili,36101
LAZ,Lazio,Ospiti RSA,5865
LAZ,Lazio,Over 80,272283
LIG,Liguria,60-69,159259
LIG,Liguria,70-79,153238
LIG,Liguria,Fragili,10218
LIG,Liguria,Ospiti RSA,2509
LIG,Liguria,Over 80,103587
LOM,Lombardia,60-69,1034566
LOM,Lombardia,70-79,856036
LOM,Lombardia,Fragili,182018
LOM,Lombardia,Ospiti RSA,16857
LOM,Lombardia,Over 80,498537
MAR,Marche,60-69,159695
MAR,Marche,70-79,135499
MAR,Marche,Fragili,46951
MAR,Marche,Ospiti RSA,2075
MAR,Marche,Over 80,103617
MOL,Molise,60-69,35356
MOL,Molise,70-79,27037
MOL,Molise,Fragili,10464
MOL,Molise,Ospiti RSA,646
MOL,Molise,Over 80,17793
PAB,P.A. Bolzano,60-69,46000
PAB,P.A. Bolzano,70-79,36653
PAB,P.A. Bolzano,Fragili,8016
PAB,P.A. Bolzano,Ospiti RSA,862
PAB,P.A. Bolzano,Over 80,24179
PAT,P.A. Trento,60-69,55906
PAT,P.A. Trento,70-79,45267
PAT,P.A. Trento,Fragili,3341
PAT,P.A. Trento,Ospiti RSA,1121
PAT,P.A. Trento,Over 80,27729
PIE,Piemonte,60-69,438177
PIE,Piemonte,70-79,372683
PIE,Piemonte,Fragili,187252
PIE,Piemonte,Ospiti RSA,8299
PIE,Piemonte,Over 80,138185
PUG,Puglia,60-69,436039
PUG,Puglia,70-79,356740
PUG,Puglia,Fragili,97373
PUG,Puglia,Ospiti RSA,6309
PUG,Puglia,Over 80,206461
SAR,Sardegna,60-69,185017
SAR,Sardegna,70-79,147568
SAR,Sardegna,Fragili,55397
SAR,Sardegna,Ospiti RSA,3251
SAR,Sardegna,Over 80,89395
SIC,Sicilia,60-69,458242
SIC,Sicilia,70-79,359198
SIC,Sicilia,Fragili,162420
SIC,Sicilia,Ospiti RSA,4663
SIC,Sicilia,Over 80,217501
TOS,Toscana,60-69,388522
TOS,Toscana,70-79,347171
TOS,Toscana,Fragili,73723
TOS,Toscana,Ospiti RSA,6638
TOS,Toscana,Over 80,216744
UMB,Umbria,60-69,96191
UMB,Umbria,70-79,83755
UMB,Umbria,Fragili,34952
UMB,Umbria,Ospiti RSA,1580
UMB,Umbria,Over 80,63327
VDA,Valle d'Aosta,60-69,12992
VDA,Valle d'Aosta,70-79,11641
VDA,Valle d'Aosta,Fragili,2422
VDA,Valle d'Aosta,Ospiti RSA,404
VDA,Valle d'Aosta,Over 80,8364
VEN,Veneto,60-69,510184
VEN,Veneto,70-79,427766
VEN,Veneto,Fragili,81370
VEN,Veneto,Ospiti RSA,11778
VEN,Veneto,Over 80,250592
